Country,Aedes_presence (Ae. aegypti / albopictus),DENV_circulation,DENV_vaccine_access,CHIKV_circulation,CHIKV_vaccine_access,YFV_circulation,YFV_vaccine_access,Culex_presence (Culex tritaeniorhynchus complex),JEV_circulation,JEV_vaccine_access
Trinidad and Tobago,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Tunisia,Present,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Turkey,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Turkmenistan,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Tuvalu,Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Uganda,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Ukraine,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
United Arab Emirates,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
United Kingdom,Limited / sporadic,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
United States,Present,Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Uruguay,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Uzbekistan,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Vanuatu,Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
"Venezuela, Bolivarian Republic of",Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Viet Nam,Present,Endemic / established transmission,Licensed & available (private/market),Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Yemen,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Zambia,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Zimbabwe,Present,Imported / travel-related cases only,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
